,#1 String,#2 String
0,A person on a horse jumps over a broken down airplane.,"A person is outdoors, on a horse."
1,Children smiling and waving at camera,There are children present
2,A boy is jumping on skateboard in the middle of a red bridge.,The boy does a skateboarding trick.
3,Two blond women are hugging one another.,There are women showing affection.
4,"A few people in a restaurant setting, one of them is drinking orange juice.",The diners are at a restaurant.
5,An older man is drinking orange juice at a restaurant.,A man is drinking juice.
6,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man drinking water from a fountain.
7,Two women who just had lunch hugging and saying goodbye.,There are two woman in this picture.
8,"Two women, holding food carryout containers, hug.",Two women hug each other.
9,A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is trying to tag a runner out.
10,The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A school is hosting an event.
11,High fashion ladies wait outside a tram beside a crowd of people in the city.,Women are waiting by a tram.
12,"A man, woman, and child enjoying themselves on a beach.",A family of three is at the beach.
13,A couple playing with a little boy on the beach.,A couple are playing with a young child outside.
14,A couple play in the tide with their young son.,The family is outside.
15,A man and a woman cross the street in front of a pizza and gyro restaurant.,"Near a couple of restaurants, two people walk across the street."
16,A woman in a green jacket and hood over her head looking towards a valley.,The woman is wearing green.
17,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A woman in white.
18,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",The adults are both male and female.
19,"A woman wearing all white and eating, walks next to a man holding a briefcase.",A female is next to a man.
20,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",the woman is outside
21,A skier slides along a metal rail.,A skier is near the rail.
22,A person on skis on a rail at night.,The person skiis
23,A skier in electric green on the edge of a ramp made of metal bars.,The brightly dressed skier slid down the race course.
24,A yellow uniformed skier is performing a trick across a railed object.,Somebody is engaging in winter sports.
25,A blond man is drinking from a public fountain.,The man is drinking water.
26,Wet brown dog swims towards camera.,A dog is in the water.
27,Closeup image of a dog swimming.,A dog swims in a body of water.
28,The furry brown dog is swimming in the ocean.,A dog is swimming.
29,A big brown dog swims towards the camera.,A dog swims towards the camera.
30,"A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.",The man with the gray hat and pitchfork is directing the cart.
31,"A man is leading a Clydesdale up a hay road, within a Old Country.",A man is walking with his horse up a country road.
32,A farmer fertilizing his garden with manure with a horse and wagon.,The man is fertilizering his garden.
33,A white horse is pulling a cart while a man stands and watches.,An animal is walking outside.
34,A dog drops a red disc on a beach.,a dog drops a red disc
35,A man and a woman are walking on a street at the top of a hill.,A man and woman walk on a street.
36,An elderly man is drinking orange juice at a cafe.,An old man is enjoying a beverage at a cafe.
37,A couple holding hands walks down a street.,People are holding hands and walking.
38,A couple walk through a white brick town.,People are walking outdoors.
39,Children going home from school.,The school children head home.
40,People listening to a choir in a Catholic church.,Choir singing in mass.
41,Bicyclists waiting at an intersection.,Bikers stop and wait for traffic at the intersection.
42,People waiting at a light on bikes.,People are on their bikes.
43,People on bicycles waiting at an intersection.,There are people on bicycles.
44,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The cart is filled to the top.
45,A boy is drinking out of a water fountain shaped like a woman.,A male is getting a drink of water.
46,three bikers stop in town.,Bikers stop for gas
47,Two people loading brush on a trailer attached to a truck.,A couple of people are loading brush onto a trailer that is attached to a truck.
48,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A bearded man is pulling on a rope.
49,A man with facial hair and a red and gray shirt tugging on a piece of rope.,A man has facial hair.
50,A middle-aged oriental woman in a green headscarf and blue shirt is flashing a giant smile.,A middle aged oriental woman in a green headscarf and blue shirt is flashing a giant smile
51,An Asian woman in a blue top and green headscarf smiling widely as another woman rows a boat in the background.,An Asian woman is smiling at while another lady is rowing.
52,A boat worker securing line.,A worker is doing something to a boat.
53,A small girl with a necklace is swimming.,A small girl with a necklace is in the water
54,a skateboarder skates in the pool.,A skater is in the pool.
55,"A couple, who appear to be Indian or Pakistani, walk on a path beside a body of water, the mother carrying a child in a diaper, the father wrapped in a blanket with the logo of the humanitarian organization ""Save the Children.""",A couple carrying a child are walking along water.
56,"There is a woman holding a baby, along with a man with a save the children bag.",A group of people are possing for an add.
57,"A family with a baby, the father is wearing a save the children sign.",A man is wearing something with writing on it.
58,A foreign family is walking along a dirt path next to the water.,A foreign family walks by a dirt trail along a body of water.
59,"A man and a woman are standing next to sculptures, talking while another man looks at other sculptures.",A man and a woman are standing.
60,Group of young women in dresses strolling on the sidewalk.,there are some groups one of them of young females are in dresses strolling for a ramp walk
61,A man wearing a striped top and jeans does a skateboard trick on some steps while a man who is hunched over photographs him.,a man is photographing a man skateboarding.
62,A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.,A man is photographing another man.
63,One biker is running with their bike while another is riding around them.,People have bikes
64,"Two people with bicycles, one in front running with a bike and one in back riding.",One person running next to their bike with the person riding their bike behind them.
65,A young man doing a trick on a skateboard down the stairs while being photographed.,A man being photographed while he does a trick on his skateboard down the stairs.
66,"A lady in a black and white striped shirt and holding a bouquet of flowers, looks seriously at two gentlemen talking on the steps.",A lady with a serious face is standing with two guys in front of steps outside.
67,A man walking proudly down the street.,A man is outside.
68,Four teenage boys are doing cannonballs into a swimming pool.,A group of young men are splashing a lot of water.
69,Three men standing on grass by the water looking at something on a table.,The three men are outside.
70,A woman stands behind an outdoor grill with a blue basket of food in her hands.,A woman standing behind a grill outside with a blue basket of food in her hands.
71,A Land Rover makes its way through a deep pond.,A car drives through the water.
72,many people relax in the yard.,A group of people are outside.
73,A car sinking in water.,A car is flooding.
74,A man wearing black is playing an electric guitar at a concert.,A man is playing the guitar.
75,A man with wild hair rocks a show playing a guitar center stage.,A guy stands on stage with his guitar.
76,woman and child on trolley car labeled Powell and market and bay and taylor,The woman is on a trolley.
77,"Two female medical professionals, one african american& one white, looking over paperwork in a hospital.",There are people at work.
78,Two ladies are reading through binders.,Some women are reading.
79,A man in the distance is walking past a brick wall painted with words and graffiti.,Grafffiti on a brick wall.
80,A woman and a child holding on to the railing while on trolley.,The people are holding onto the rail.
81,A man in a striped polo shirt is pointing and smiling.,The man seems happy
82,A guy performing a bicycle jump trick for an audience.,a guy is performing a bike trick
83,A gray-haired woman in a blue dress coat with snowflakes on it balances something on her head.,The woman is wearing a coat.
84,Two children play outside in a field.,Kids are playing outdoors.
85,"One man sits inside and plays the banjo, there are trees behind him outside.",A male sitting indoors.
86,"Two children, in colorful outfits, playing in a field with a big rock in the middle.",Two kids are playing with a big rock in the field
87,Two young girls are playing outside in a non-urban environment.,Two girls are playing outside.
88,"Two children in hats play in an open, rocky field.",The children are playing in a rocky field.
89,A woman wearing a green and pink dress is dancing with someone wearing a blue top with white pants.,The woman in green and pink is dancing.
90,Man in gold pants looking at the camera.,Man looking at the camera.
91,A man in a gold skirt sits in front of the computer.,A man in a gold skirt sitting at his computer watching the computer screen.
92,Man wearing black t-shirt sitting at a computer desk.,the man is working on the computer
93,A bearded man in a black t-shirt sits in front of a desk holding a computer.,A man waiting with his computer.
94,"A man in a gold foils skirt, sitting at a computer desk, looks at the camera with his hands raised to his face.",a man is looking at his webcam
95,A young girl sitting at a table with a bowl on her head,A young girl has a bowl on her head
96,A man dances with a fire baton at night.,the man is dancing
97,A doctor checks the stomach of a toddler.,The toddler is getting a checkup.
98,Young blond woman putting her foot into a water fountain,A person is dipping her foot into water.
99,A young woman tries to stick her foot in a fountain.,The woman has one foot in the air.
100,A woman in capri jeans crouches on the edge of a fountain with her left foot kicked out to touch the falling water.,A woman is like to touch the water in fountain
101,Woman balancing on edge of fountain while sticking her toe in the water.,A woman stand on a fountain and dips her toes in.
102,A couple strolls arm and arm and hand in hand down a city sidewalk.,The couple is outdoors.
103,A man stare at a passing couple while walking down the block.,A man stares at a passing couple.
