#1 String,#2 String
"Yes, Dad?",Yes Dad?
"Boy heads into water, big tents and hills in background, in rural area.",A boy about to get wet.
A police office riding a motorcycle in front of a large group of people standing behind a waist-high fence.,A man is riding a motorcycle.
"Fortunately, most of the favourite beaches are well protected from waves and undertow, and slope gradually.",The best beaches have gradual slopes and are protected from undertow.
Two people stand on a large gray building.,Folks on a roof.
A group of seven men walking and standing on a concrete surface.,A group of men are walking.
A trumpet player wearing a blue shirt and red tie performs.,A man plays trumpet.
Something that he seemed to see there held his attention.,His attention was held by something.
"I felt he'd seen right through me, but I went on playing my part.",I continued playing my part even though it seemed that he had figured me out.
A woman in blue jeans selling eatables on the road.,A woman is selling food.
Witness the crowd's unashamedly chauvinistic partisanship at Rome's international open tennis championships or the Davis Cup.,Rome's tennis championships really bring out the community's chauvinistic and partisan tendencies.
People riding on a motorcycle on a waterfront street.,people are on a motorcycle
yeah right uh most the time if they were they were some of them were even better behaved i've only had two instances where i could it was really noticeable but they were better behaved when they were um i don't know if it was alcohol or something else that they were on but it ended up better,Most of the time they cooperate and behave well.
A woman wearing purple leg warmers sits on the floor and applies nail polish to her toenails.,The woman is painting her toenails.
"Further west is the Mondrian hotel (8440 Sunset Boulevard), which Ian Schrager made trendy again with sleek modern decor by Phillippe Starck and a parade of celebrities who frequent the beautiful outdo or SkyBar cocktail lounge.",Phillippe Starck realized the modern decor of the Mondrian hotel.
A story chronicles Fidelity Investments' continuing troubles.,Fidelity Investments' is having continuing troubles.
"Immediately, the name of the place was officially changed to Portinatx del Rey (of the king).",The name had changed to Portinatx del Rey with great haste.
"Senor, you have spoiled my day.","Mister, you have ruined my day."
Crushed Limestone Sold or Used By U.S.,Pulverizing limestone to use in the U.S.
"Case Study A method for learning about a complex instance, based on a comprehensive understanding of that instance, obtained by extensive description and analysis of the instance, taken as a whole and in its context.",Case studies should be based on a comprehensive understanding of the situation being studied.
A woman in a white coat speaks to a woman in a green coat while waiting for a train.,Two woman speak on a train.
A young boy with tinted sunglasses and a blue striped shirt is leaning against a table.,a boy leans on a table
But we are still not quite there.,We have not arrived there yet.
A boy in winter clothes slides down an orange slide.,A boy plays on a playground in Winter.
"He was a good fifteen years my senior, for one thing, though he hardly looked his forty-five years.",He was at least 15 years older.
so it's trying to push the weight plus have all this drain on it from all sorts of belts and things but that's one good thing i've got a uh eight ninety uh Chevy Blazer now and it's got one uh belt on it a serpentine belt,My 98' Chevy Blazer has a serpentine belt on it.
Traditional dancers perform on the street.,Dancers perform on the street.
A woman and a man holding a small boy smile while standing in front of a decorated christmas tree with gifts under it.,Two adult hold a child in front of a Christmas tree.
"Typical A frequency distribution of unfiled rates shows that 14 states had rates of 3, which turns out to be both the mode and the median for this distribution.",14 states had rates of 3 which were shown by a Typical A frequency distribution of unfiled rates.
This was no longer an eccentric young fellow with a habit of falling off trees.,This young man was no longer an eccentric fellow who habitually fell from trees.
A stoplight on the street corner.,A light outside
Man bowling in a dimly lit bowling alley.,A man is bowling at the alley.
yeah yeah yeah i was uh i told my dad you know it was like listen dad you know that i sleep a lot of hours right,I let my Dad know how many hours I sleep.
and and they really really they come down and pound you real hard if they catch you dumping oil on the ground because it does go in and it effects the lakes and streams and it eventually winds up on the ocean here and it really makes a mess around around New England,They are really severe with punishment if they find you dumping oil on the ground.
for something like that because of the cultural differences,Due to the cultural differences.
A man in an orange shirt is working on a large sand sculpture.,a child was there
"In the midst of his custody fight, Chris Barboza, Ogden, heard about Smith from the friend of a friend two months ago.",Barboza was recommended Smith's services by a friend.
"In cutting back on hiring of new staff in order to reduce the number of employees, agencies also reduced the influx of new people with the new competencies needed to sustain excellence.","Agencies reduced new staff hiring, which decreased inflow of new people with new competencies."
A blond woman wearing a gray jacket converses with an older man in a green shirt and glasses while sitting on a restaurant patio.,A blond woman chats with an older gentleman while they sit together at the patio of a diner.
"An old man with a long white beard, glasses, and a hat is sitting on a park bench.",A man sits on a bench.
"So, secondarily, does Churchill's.",Churchill's isn't the first one.
