text,paraphrase,BLUE_score,TER_score,ROUGE1_score,ROUGE2_score,ROUGEL_score,SACREBLUE_score
"This was a series of nested angular standards , so that measurements in azimuth and elevation could be done directly in polar coordinates relative to the ecliptic .","This was a set of nested cosines, so measurements in azimuth and elevation could be done directly in polar coordinates relative to the ecliptic.",0.6850967976430173,25.0,0.8799999999999999,0.7499999999999999,0.8799999999999999,68.50967976430171
His father emigrated to Missouri in 1868 but returned when his wife became ill and before the rest of the family could also go to America .,"His father emigrated to Missouri in 1868, but returned when his wife became ill and the rest of the family could also leave America.",0.6988909238965656,22.22222222222222,0.9199999999999999,0.8333333333333333,0.9199999999999999,69.88909238965658
"In January 2011 , the Deputy Secretary General of FIBA Asia , Hagop Khajirian , inspected the venue together with SBP - President Manuel V. Pangilinan .","In January 2011, Hagop Khajirian inspected the venue along with SBP President Manuel V. Pangilinan.",0.3196153904817163,55.55555555555556,0.7567567567567568,0.6285714285714286,0.7567567567567568,31.961539048171602
"Steiner argued that , in the right circumstances , the spiritual world can be explored through direct experience by practicing ethical and cognitive forms of rigorous self-discipline .","Steiner argued that in the right circumstances, the spiritual world can be explored through direct experience by practicing ethical and cognitive forms of rigorously self-discipline.",0.8147865470559416,21.428571428571427,0.9615384615384616,0.92,0.9615384615384616,81.47865470559415
"Luciano Williames Dias ( born July 25 , 1970 ) is a Brazilian football coach and former player .","Luciano Williames Dias ( born July 25, 1970 ) is a Brazilian football coach and former player.",1.0,21.052631578947366,1.0,1.0,1.0,100.00000000000004
"During her sophomore , junior and senior summers , she spent half of it with her Alaska team , and half playing , and living in Oregon .","During her freshman, junior and senior summers she spent half of it with her Alaska team and half playing and living in Oregon.",0.6005960062262375,25.0,0.9565217391304348,0.9090909090909091,0.9565217391304348,60.05960062262372
The smallest number that can be represented in two positive and seventh ways as a sum of four different powers is 2056364173794800 .,The smallest number that can be represented in two positive and seventh ways as a sum of four different powers is 2064863792.,0.9173176373893104,8.695652173913043,0.9545454545454546,0.9523809523809523,0.9545454545454546,91.73176373893106
"His father emigrated to Missouri in 1868 , but returned when his wife became ill and before the rest of the family could go to America .","His father emigrated to Missouri in 1868, but returned when his wife became ill and before the rest of the family could leave America.",0.8715906069718004,22.22222222222222,0.9387755102040817,0.8936170212765957,0.9387755102040817,87.15906069718004
"The Villa Pesquera facilities are owned by the Municipality of Ponce , but operated by the fishermen themselves .",Villa Pesquera facilities are owned by the municipality of Ponce but are operated by the fishermen themselves.,0.6026286934891149,26.31578947368421,0.9411764705882353,0.875,0.9411764705882353,60.26286934891149
It is situated south of Köroğlu Mountains and to the north of Bolu .,It is located south of the Krolu Mountains and north of Bolu.,0.2742249046102379,42.857142857142854,0.7407407407407408,0.4,0.6666666666666665,27.422490461023802
The Río Blanco mine is a large copper mine located in the north of Peru in Loreto Region .,The Ro Blanco mine is a large copper mine located in the north of Peru in the Loreto region.,0.7077262358157408,21.052631578947366,0.8947368421052632,0.7777777777777778,0.8947368421052632,70.77262358157407
"He appeared as General Tao in the Amazon - Show `` The Man at the High Castle '' , and as Onoda in AMC `` Hell On Wheels '' .",He appeared as General Tao in the Amazon Show  The Man at High Castle '' and as Onoda in AMC  Hell On Wheels ''.,0.5036028067884648,23.333333333333332,0.9777777777777777,0.9302325581395349,0.9777777777777777,50.36028067884647
