,#1 String,#2 String
0,Why in India do we not have one on one political debate as in USA?,Why cant we have a public debate between politicians in India like the one in US?
1,What do you think will be the effect of Modi Government's decision of invalidating the RS 500 and RS 1000 notes?,What are the full implications of the Indian government's decision to withdraw all the old 500 and 1000 rupee notes from circulation?
2,What is OnePlus One?,How is oneplus one?
3,Does our mind control our emotions?,How do smart and successful people control their emotions?
4,What made Islam spread around the world faster than any other religion?,How did Islam spread to all the world?
5,What do people around the world typically wear to sleep?,What do you usually wear to sleep?
6,How can I become an airline pilot?,What do you have to do to become an airline pilot?
7,What is a public limited company?,What is a public limited company? What are some benefits?
8,How do you think President Obama will go down in history?,Will Obama go down in history as a great president?
9,What's the absolute easiest way to commit suicide?,"What is the cheapest, easiest, least painful way to commit suicide?"
10,What are the best ways to study/memorize things?,What is the best way to memorize things?
11,"Can imaginary time, energy and gravity exist?",Does imaginary gravity exist?
12,Which books are good for improving English?,What are some good books or resources to improve English?
13,What is aptitude test?,What is an aptitude test?
14,What is the best CP valued Pokémon that you have?,What is the highest limit for Pokémon CP in Pokémon GO?
15,How dangerous is a German Shepherd/Border Collie mix?,How friendly is a German Shepherd/Border Collie mix?
16,What are the best things to do in Hong Kong?,What is the best thing in Hong Kong?
17,Does anyone believe that there is life on other planets?,Is there life on other planets besides earth?
18,Are you guys voting for Hillary Clinton or Donald Trump?,Who would you vote for: Donald Trump or Hillary Clinton?
19,How do we know for sure that nothing is faster than light?,Why I can't go faster than light?
20,What is the easiest method to clean shave bikini area at home?,How do you completely shave your bikini area?
21,What were the books Aman Bansal used for his Jee preparation?,Which books were used my Aman Bansal for JEE preparation?
22,How do I make my girlfriend happy on her birthday?,What is the best gift I can buy for my girl to make her feel special on her birthday?
23,What are your thoughts on Child Support?,What is your review of Child Support?
24,"Is Earth a prematurely Inhabited Planet, because the universe is too young?",Is Earth a prematurely Inhabited Planet?
25,What are good ways to start a business intelligence startup?,What are good ways to start a startup in the business intelligence niche?
26,Where can I get the best rates on cruises?,Where can I get the best price on a cruise?
27,"What is the witching hour in occult belief, and why is it at 3 AM? How does it compare to the Devil's hour?",Why is 3 am called the witching hour?
28,What are the best gate coaching classes for mechanical engineering in Mumbai?,What are some good GATE coaching classes for Mechanical Engineering in Mumbai?
29,How do I get into internships?,How do you get internships?
30,Why is Arnab Goswami resigned as the Editor-in Chief of Times Now and ET Now?,Why did Arnab Goswami quit TIMES NOW?
31,How does Donald Trump expect Mexico to pay for his proposed border wall?,How Donald Trump will make Mexico pay for the wall?
32,Can I track a stolen phone?,My phone has been stolen. How do track my phone?
33,Where can I get highest quality service at exceptional prices in Sydney for property conveyancing?,Where can I get quality support to make a successful property transaction process in Sydney?
34,"If I burn a 1000 rupee note, will India get poor by a thousand rupee? How will it affect India's GDP, considering the demonitization of notes?","If I burn a Rs. 1000 note, how does it affect the country?"
35,"Are there iTunes gift cards? If so, where can they be purchased at in the US?",How can I get free iTunes gift cards online?
36,Does love always hurt?,Does true love always hurt or die?
37,What is the best part time job while you are already working in Bangalore?,What can one do part time to earn some money while working in Bangalore?
38,Has wizard magic been scientifically tested?,Have wizards been scientifically tested?
39,Is obc certificate from state government valid in national level?,Is caste certificate of one state and domicile of another state is valid for government exams?
40,How do I make a rocket?,How do you make a DIY rocket that works?
41,Is World War III on its way right now?,Do you think we are on the verge of World War III?
42,Why do I need to be 18 years old to do anything?,Why do I have to be 18 years old to do anything?
43,What is a j2ee?,What is difference between core java and j2ee?
44,How should you treat a mouse bite?,How do you treat a mouse bite?
45,Why does Quora seemingly always tell me that my questions need improvement when they are clear and concise questions?,Why are some questions on Quora flagged as needing improvement when they don’t need improvement?
46,Why did my family member say I need to grow up a little?,Why did my family member say I need to grow up?
47,What scares Indian men?,Indian Men: What scares Indian men?
48,Is Somaliland even a country? Elaborate if yes or no,Is somaliland a country?
49,How do I easily crack the GRE with good score?,What are the steps to crack GRE with good scores?
50,How the way to speak english fluently?,How can I learn to speak English fluently?
51,How do people join ISIS?,What makes a person join ISIS?
52,When will be end of world?,What is the end of this world?
53,What or Who is a furry?,What is a furry?
54,What is the best way to lose weight and not gain it back?,What is the best weight loss method?
55,Do people have sex with animals?,Do people really have sex with animals?
56,"If you could change one thing about the education system, what would it be?","If you could change anything about education, what would it be and why?"
57,Why did MS Dhoni quit ODI and T20 captaincy but will still play?,Why has Dhoni left the captaincy from ODI and T20?
58,"If a woman has a choice in abortion, why should the father be liable for child support?","If a woman chooses to keep a pregnancy when her partner prefers that she have an abortion, why should he have to pay child support?"
59,How can we change our habits?,How can I change all of my habits?
60,How does the inside of a vagina feel?,What does the inside of a vagina feel like?
